bearing_id,condition_id,speed_rpm,load_kn,file_path,file_index,time_index,failure_time,rul,normalized_rul
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\1.csv,0,0,122,122,1.0
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\2.csv,1,1,122,121,0.9918032786885246
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\3.csv,2,2,122,120,0.9836065573770492
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\4.csv,3,3,122,119,0.9754098360655737
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\5.csv,4,4,122,118,0.9672131147540983
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\6.csv,5,5,122,117,0.9590163934426229
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\7.csv,6,6,122,116,0.9508196721311475
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\8.csv,7,7,122,115,0.9426229508196722
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\9.csv,8,8,122,114,0.9344262295081968
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\10.csv,9,9,122,113,0.9262295081967213
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\11.csv,10,10,122,112,0.9180327868852459
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\12.csv,11,11,122,111,0.9098360655737705
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\13.csv,12,12,122,110,0.9016393442622951
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\14.csv,13,13,122,109,0.8934426229508197
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\15.csv,14,14,122,108,0.8852459016393442
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\16.csv,15,15,122,107,0.8770491803278688
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\17.csv,16,16,122,106,0.8688524590163934
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\18.csv,17,17,122,105,0.860655737704918
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\19.csv,18,18,122,104,0.8524590163934426
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\20.csv,19,19,122,103,0.8442622950819673
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\21.csv,20,20,122,102,0.8360655737704918
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\22.csv,21,21,122,101,0.8278688524590164
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\23.csv,22,22,122,100,0.819672131147541
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\24.csv,23,23,122,99,0.8114754098360656
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\25.csv,24,24,122,98,0.8032786885245902
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\26.csv,25,25,122,97,0.7950819672131147
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\27.csv,26,26,122,96,0.7868852459016393
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\28.csv,27,27,122,95,0.7786885245901639
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\29.csv,28,28,122,94,0.7704918032786885
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\30.csv,29,29,122,93,0.7622950819672131
C1_Bearing1_1,C1,2100.0,12.0,data\XJTU-SY_Bearing_Datasets\35Hz12kN\Bearing1_1\31.csv,30,30,122,92,0.7540983606557377
